# Work, school, money, legal help, IDs, veterans, disability and seniors in the 71 places added on 2026-09-24
# (every city and township a DDOT or SMART bus reaches: 24 in Wayne, 32 in Oakland, 15 in Macomb). Batch `work-money-legal`.
# Categories: jobs.find, jobs.training, learn.school, learn.english, money.tax, money.benefits, legal, legal.immigration,
# ids, veterans, disability, seniors. (ids.mail: nothing found; see the end of this file.)
# Method: read on each organization's own site (or its own page on its city's, county's or the State's official site)
# on 2026-09-24, with a page reader that sends the same user agent as `pnpm check:sources` and extracts the page text the
# same way; WebFetch or a browser only where a site refuses scripts (those lines carry a `# BROWSER:` comment). Web search
# was used only to find sites, and ran out part way (session budget); after that, pages were found by following links
# from owners' home pages and reading their sitemaps. No fact comes from a search snippet or a directory.
# Every line (except the BROWSER ones) was checked the way check:sources will: the source_url page shows the phone
# (and phone2) and the street address. Rows with no phone show their house number and street on the source page.
# "Free" appears only where the owner's page says free / no cost. No staff names, no emails.
# Flags use `appointment_required` (docs/03), not `appointment`.
# Per-line notes for the steward are `# note:` lines directly above the line they concern.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url | extras

# ======== jobs ========
# Help finding a job (jobs.find) and free job training (jobs.training) in the 71 places added on 2026-09-24.
# Read on each organization's own site (or its own page on its county's site) on 2026-09-24, with the project's
# page reader (the same fetch pnpm check:sources uses) and, where a site refuses scripts, WebFetch. Web search was used
# only to find sites; no fact comes from a search snippet or a directory.
# Notes for the steward:
# - Oakland County Michigan Works! runs its centers through partners: Goodwill of Greater Detroit runs Pontiac and
#   Novi (goodwilldetroit.org), the Troy School District runs Troy, Gesher Human Services runs Waterford. The county's
#   own page (oaklandcountymi.gov/business/workforce-development/about) lists Novi, Oak Park, Pontiac, Troy and
#   Waterford, says the services are free, and lists "Tuition Assistance for Education/Training".
# - NOT listed on purpose: Oak Park (22180 Parklawn) — the county page says "*Closing September 25, 2026". Southfield
#   (21415 Civic Center Dr) closed June 30, 2026; the county says a new center for southern Oakland County "will open in
#   early Fall 2026". Add it when the county names the address.
# - SEMCA Michigan Works! (semcamiworks.org) refuses scripts (403). Its Wayne and Wyandotte centers are sourced from
#   the Downriver Community Conference's pages (dccwf.org), which operates them and which scripts can read. SEMCA's own
#   page (read with WebFetch) gives the Wyandotte center's phone as 734.362.3466; DCC's pages give 734-362-7070 and
#   say "please call 734-362-7070". We list DCC's number. SEMCA's Livonia and Southgate centers are gone (Southgate
#   moved to Wyandotte).
# - Macomb/St. Clair Michigan Works! centers print "Hours 8am - 5pm (Excluding Holidays)" with no days, so they arrive
#   call-first. The Port Huron center is outside the area.
# - Not repeated here because another file in this batch already has them: Chaldean Community Foundation job help,
#   Sterling Heights (part-learn.txt) and STEP Western Wayne job coaching, Westland (part-vd.txt).
Michigan Works! Novi service center | Oakland County Michigan Works! | jobs.find | Free help finding a job: computers, job search tools, workshops on resumes and interviews, job fairs and career coaching. Help with an unemployment claim. Some programs can help pay for training. | 31186 Beck Road | Novi | 48377 | (248) 926-1820 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-5pm | Open to everyone. Some programs have rules about who can join. For same-day help with an unemployment claim, come by 3:30pm. | https://www.goodwilldetroit.org/career-centers/michigan-works-novi/ |
#   page gives the Booker T. Dozier Recreation Center's address and phone, so it is the source_url here.
Senior Resource Center, Inkster | City of Inkster | seniors | Exercise classes, a walking club, a Friendship Club on Thursdays, crafts, and a men's group, at the Senior Resource Center in the Dozier Recreation Center. Rides are available. | 2025 Middlebelt Road | Inkster | 48141 | 734-728-7530 | https://www.cityofinkstermi.gov | Mon, Wed, Fri 10am-4pm; Thu 11am-2pm | Older adults in Inkster. Check in at the Resource Center. Closed on city holidays. | https://www.cityofinkstermi.gov/223/Parks-Recreation | flags=seniors; phone_label=Dozier Recreation Center; phone2=313-561-2382; phone2_label=Senior Services; phone2_source_url=https://www.cityofinkstermi.gov/259/Senior-Services
Senior services, Allen Park | City of Allen Park | seniors | Activities and services all year, and rides to the doctor, bank, store and other places. Rides cost $2 each way plus a $9 yearly fee. | 15800 White Street | Allen Park | 48101 | 313-928-0771 | https://www.cityofallenpark.org | Mon-Fri 8:30am-4:30pm | Allen Park residents 62 and older. The office is inside the Allen Park Community Center. | https://www.cityofallenpark.org/departments/parks_recreation/senior_citizen_services.php | flags=seniors
Senior activities, Riverview | City of Riverview | seniors | A senior club (cards, dominoes), bingo, senior walking, computer classes, free monthly health talks with a light lunch, exercise classes and trips, in the Senior Activity Rooms at City Hall. | 14100 Civic Park Drive | Riverview | 48193 | (734) 281-4200 | https://www.cityofriverview.com | Call first | Older adults. The club costs $12 a year. You do not have to live in Riverview. | https://www.cityofriverview.com/departments/recreation/senior_information.php | flags=seniors
Senior center, Ecorse | City of Ecorse | seniors | Services and activities for older adults, Meals on Wheels for people who cannot leave home, bus service, and a monthly pickup of free commodity food. | 4072 W. Jefferson Avenue | Ecorse | 48229 | (313) 382-3305 | https://www.ecorsemi.gov | Mon-Fri 8:30am-4:30pm | Older adults. You can stop in or call. | https://www.ecorsemi.gov/services/parks_and_rec/senior_center.php | flags=seniors
Berwyn Senior Recreation Center, Dearborn Heights | City of Dearborn Heights | seniors | Games, bingo, classes, a computer lab, exercise, yoga, tai chi, blood pressure checks, senior lunch, and free monthly food for people 60 and older. | 26155 Richardson St | Dearborn Heights | 48127 | (313)791-3550 | https://www.dearbornheightsmi.gov | Call first | Older adults. Free food is for people 60 and older. | https://www.dearbornheightsmi.gov/317/Berwyn-Senior-Recreation-Center | flags=seniors
Eton Senior Recreation Center, Dearborn Heights | City of Dearborn Heights | seniors | Card games, bunco, classes, and free monthly food for people 60 and older. | 4900 Pardee Avenue | Dearborn Heights | 48125 | 313-277-7765 | https://www.dearbornheightsmi.gov | Call first | Older adults. Free food is for people 60 and older. | https://www.dearbornheightsmi.gov/322/Eton-Senior-Recreation-Center | flags=seniors
# BROWSER: Senior Community Center, Melvindale — site refuses scripts
Senior Community Center, Melvindale | City of Melvindale | seniors | A social club for adults 50 and older: exercise, blood pressure checks, trips, bingo, crafts, and hot meals through Wayne County ($3). Rides Mon-Wed 9:30am-2:30pm cost $2 round trip for members. | 18616 Allen Road | Melvindale | 48122 | 313.914.2178 | https://melvindale.org | Mon-Wed 9am-3pm | Adults 50 and older. Membership is $15. | https://melvindale.org/community/senior-community-center/ | flags=seniors
# note: The Helm also runs the Wilson Day Center (adult day program for people 50+ with dementia, 648 St. Clair,
#   Grosse Pointe, Mon-Fri 10am-4pm) — not listed: it costs $79 a day ($200 for Grosse Pointe Shores). A lead only.
Senior center for the Grosse Pointes and Harper Woods (The Helm) | The Helm at the Boll Life Center | seniors | Classes, games, fitness, trips, Meals on Wheels, free rides to medical visits, a free loan closet for medical equipment, home repair help, Medicare help, and free tax help. | 158 Ridge Road | Grosse Pointe Farms | 48236 | 313-882-9600 | https://helmlife.org | Mon, Wed, Fri 9am-5pm; Tue, Thu 9am-7pm | Older adults, caregivers and families in the five Grosse Pointes and Harper Woods. Rides and home repair help are for residents 60 and older. | https://helmlife.org/support-services/ | flags=seniors

# ======== gaps (nothing listed) ========
# ids.mail: no organization in the 71 places was found whose own page offers a mailing address to anyone who needs one.
#   HOPE Shelters (249 Baldwin Avenue, Pontiac; hopeshelters.org/if-you-need-help.html) says "We provide a mailing address
#   for our guests" — for people staying at the shelter only, so it is a shelter's feature, not an ids.mail listing.
# Leads for other batches (not in these categories): Macomb County's senior lunch sites ("Dining Senior Style", ~20
#   addresses, https://www.macombgov.org/departments/senior-services/services-seniors/dining-senior-style) are food.meal
#   rows with flags=seniors; Macomb Community Action (21885 Dunham Rd, Clinton Township; 11370 Hupp Ave, Warren) and
#   Wayne Metro's walk-in centers (2005 Biddle Ave, Wyandotte; 11131 Wayne Rd, Romulus) are utilities/rent help;
#   Downriver Community Conference's GED/basic-skills lab (15100 Northline Road, Southgate, 734-362-3455,
#   https://dccwf.org/programs-and-services/basic-skills-and-assessment/) may have moved with its job center to
#   Wyandotte, so it was not listed.
